AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA AND PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2017-18,40,5.9,56,953,> 100%
State,Alabama,All,2017-18,41,5.6,56,998,> 100%
State,Alabama,All,2017-18,42,7.4,73,980,> 100%
State,Alabama,All,2017-18,43,6.1,58,949,> 100%
State,Alabama,All,2017-18,44,6.1,61,"1,000",> 100%
State,Alabama,All,2017-18,45,5.9,58,986,> 100%
State,Alabama,All,2017-18,46,6,58,974,> 100%
State,Alabama,All,2017-18,47,6.1,60,980,> 100%
State,Alabama,All,2017-18,48,6.3,67,"1,062",> 100%
State,Alabama,All,2017-18,49,5.7,60,"1,057",> 100%
State,Alabama,All,2017-18,50,6.6,71,"1,071",> 100%
State,Alabama,All,2017-18,51,5.2,53,"1,029",> 100%
State,Alabama,All,2017-18,52,8.7,85,981,> 100%
State,Alabama,All,2017-18,1,9,87,968,> 100%
State,Alabama,All,2017-18,2,8.8,70,794,86%
State,Alaska,All,2017-18,40,4.5,4,89,> 100%
State,Alaska,All,2017-18,41,4.8,4,84,> 100%
State,Alaska,All,2017-18,42,7.1,6,84,> 100%
State,Alaska,All,2017-18,43,2.9,3,103,> 100%
State,Alaska,All,2017-18,44,11,9,82,> 100%
State,Alaska,All,2017-18,45,4.3,4,93,> 100%
State,Alaska,All,2017-18,46,7,6,86,> 100%
State,Alaska,All,2017-18,47,5.5,4,73,> 100%
State,Alaska,All,2017-18,48,1.1,1,87,> 100%
State,Alaska,All,2017-18,49,5.8,4,69,95.70%
State,Alaska,All,2017-18,50,6.7,6,89,> 100%
State,Alaska,All,2017-18,51,4.1,3,73,> 100%
State,Alaska,All,2017-18,52,5.4,4,74,> 100%
State,Alaska,All,2017-18,1,6.5,3,46,63.80%
State,Alaska,All,2017-18,2,3.4,2,58,80.50%
State,Arizona,All,2017-18,40,5,53,"1,064",> 100%
State,Arizona,All,2017-18,41,5.5,57,"1,043",> 100%
State,Arizona,All,2017-18,42,5.4,56,"1,042",> 100%
State,Arizona,All,2017-18,43,6.5,67,"1,029",> 100%
State,Arizona,All,2017-18,44,5.8,62,"1,068",> 100%
State,Arizona,All,2017-18,45,5.5,56,"1,020",> 100%
State,Arizona,All,2017-18,46,7,78,"1,122",> 100%
State,Arizona,All,2017-18,47,6.2,67,"1,085",> 100%
State,Arizona,All,2017-18,48,5.6,62,"1,107",> 100%
State,Arizona,All,2017-18,49,6.3,67,"1,063",> 100%
State,Arizona,All,2017-18,50,6.5,74,"1,130",> 100%
State,Arizona,All,2017-18,51,6.8,88,"1,286",> 100%
State,Arizona,All,2017-18,52,10.4,141,"1,360",> 100%
State,Arizona,All,2017-18,1,11.8,138,"1,165",> 100%
State,Arizona,All,2017-18,2,10.4,115,"1,106",> 100%
State,Arkansas,All,2017-18,40,6.1,35,571,> 100%
State,Arkansas,All,2017-18,41,4.9,27,549,98.10%
State,Arkansas,All,2017-18,42,5.6,32,567,> 100%
State,Arkansas,All,2017-18,43,6.9,42,606,> 100%
State,Arkansas,All,2017-18,44,5.5,34,615,> 100%
State,Arkansas,All,2017-18,45,7.8,47,600,> 100%
State,Arkansas,All,2017-18,46,8.2,50,612,> 100%
State,Arkansas,All,2017-18,47,7.2,44,609,> 100%
State,Arkansas,All,2017-18,48,7.3,45,616,> 100%
State,Arkansas,All,2017-18,49,9.5,64,675,> 100%
State,Arkansas,All,2017-18,50,7.2,51,704,> 100%
State,Arkansas,All,2017-18,51,9.2,64,692,> 100%
State,Arkansas,All,2017-18,52,9.7,66,679,> 100%
State,Arkansas,All,2017-18,1,11.3,68,604,> 100%
State,Arkansas,All,2017-18,2,10.3,51,495,88.50%
State,California,All,2017-18,40,6.4,309,"4,802",> 100%
State,California,All,2017-18,41,6,293,"4,910",> 100%
State,California,All,2017-18,42,6.5,319,"4,937",> 100%
State,California,All,2017-18,43,6.8,334,"4,916",> 100%
State,California,All,2017-18,44,6.3,308,"4,891",> 100%
State,California,All,2017-18,45,6.4,312,"4,848",> 100%
State,California,All,2017-18,46,7,335,"4,798",> 100%
State,California,All,2017-18,47,6.6,330,"5,022",> 100%
State,California,All,2017-18,48,7.2,353,"4,906",> 100%
State,California,All,2017-18,49,6.9,359,"5,201",> 100%
State,California,All,2017-18,50,7.3,392,"5,361",> 100%
State,California,All,2017-18,51,8.6,483,"5,647",> 100%
State,California,All,2017-18,52,10.2,650,"6,352",> 100%
State,California,All,2017-18,1,13,762,"5,878",> 100%
State,California,All,2017-18,2,13.7,679,"4,970",> 100%
State,Colorado,All,2017-18,40,6.6,48,731,> 100%
State,Colorado,All,2017-18,41,4.8,36,752,> 100%
State,Colorado,All,2017-18,42,5.7,40,696,> 100%
State,Colorado,All,2017-18,43,4.7,36,760,> 100%
State,Colorado,All,2017-18,44,6.3,45,718,> 100%
State,Colorado,All,2017-18,45,6.8,52,766,> 100%
State,Colorado,All,2017-18,46,6.9,50,725,> 100%
State,Colorado,All,2017-18,47,4.6,33,725,> 100%
State,Colorado,All,2017-18,48,5.3,37,699,> 100%
State,Colorado,All,2017-18,49,8.1,60,741,> 100%
State,Colorado,All,2017-18,50,7.1,52,731,> 100%
State,Colorado,All,2017-18,51,7.6,58,762,> 100%
State,Colorado,All,2017-18,52,7.3,57,786,> 100%
State,Colorado,All,2017-18,1,9.2,56,612,99.90%
State,Colorado,All,2017-18,2,8.2,47,571,93.20%
State,Connecticut,All,2017-18,40,5.8,27,465,83.90%
State,Connecticut,All,2017-18,41,4.9,25,512,92.40%
State,Connecticut,All,2017-18,42,5.7,26,459,82.80%
State,Connecticut,All,2017-18,43,7.5,32,428,77.20%
State,Connecticut,All,2017-18,44,6.1,13,214,38.60%
State,Connecticut,All,2017-18,45,,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2017-18,46,,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2017-18,47,,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2017-18,48,,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2017-18,49,,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2017-18,50,,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2017-18,51,,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2017-18,52,,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2017-18,1,,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2017-18,2,,Insufficient Data,Insufficient Data,< 20%
State,Delaware,All,2017-18,40,6.7,11,165,> 100%
State,Delaware,All,2017-18,41,5.7,10,174,> 100%
State,Delaware,All,2017-18,42,9.3,14,150,> 100%
State,Delaware,All,2017-18,43,3.8,6,160,> 100%
State,Delaware,All,2017-18,44,7,12,171,> 100%
State,Delaware,All,2017-18,45,6.6,11,166,> 100%
State,Delaware,All,2017-18,46,8.2,16,194,> 100%
State,Delaware,All,2017-18,47,5.7,11,193,> 100%
State,Delaware,All,2017-18,48,5.4,10,186,> 100%
State,Delaware,All,2017-18,49,6.9,13,189,> 100%
State,Delaware,All,2017-18,50,6.5,12,184,> 100%
State,Delaware,All,2017-18,51,4.8,10,208,> 100%
State,Delaware,All,2017-18,52,11.6,19,164,> 100%
State,Delaware,All,2017-18,1,8,14,175,> 100%
State,Delaware,All,2017-18,2,4.8,6,125,84.70%
State,District of Columbia,All,2017-18,40,6.7,6,89,99.70%
State,District of Columbia,All,2017-18,41,5.7,5,87,97.40%
State,District of Columbia,All,2017-18,42,2.2,2,90,> 100%
State,District of Columbia,All,2017-18,43,4,3,75,84%
State,District of Columbia,All,2017-18,44,6.3,4,63,70.50%
State,District of Columbia,All,2017-18,45,6.2,4,65,72.80%
State,District of Columbia,All,2017-18,46,5.5,3,55,61.60%
State,District of Columbia,All,2017-18,47,3.7,2,54,60.50%
State,District of Columbia,All,2017-18,48,8.7,2,23,25.80%
State,District of Columbia,All,2017-18,49,,Insufficient Data,Insufficient Data,< 20%
State,District of Columbia,All,2017-18,50,,Insufficient Data,Insufficient Data,< 20%
State,District of Columbia,All,2017-18,51,0,0,19,21.30%
State,District of Columbia,All,2017-18,52,,Insufficient Data,Insufficient Data,< 20%
State,District of Columbia,All,2017-18,1,,Insufficient Data,Insufficient Data,< 20%
State,District of Columbia,All,2017-18,2,,Insufficient Data,Insufficient Data,< 20%
State,Florida,All,2017-18,40,5.1,199,"3,917",> 100%
State,Florida,All,2017-18,41,4.9,187,"3,828",> 100%
State,Florida,All,2017-18,42,5.6,211,"3,784",> 100%
State,Florida,All,2017-18,43,6.3,240,"3,821",> 100%
State,Florida,All,2017-18,44,6.1,240,"3,945",> 100%
State,Florida,All,2017-18,45,6,230,"3,847",> 100%
State,Florida,All,2017-18,46,5.9,229,"3,900",> 100%
State,Florida,All,2017-18,47,5.8,223,"3,836",> 100%
State,Florida,All,2017-18,48,5.6,220,"3,925",> 100%
State,Florida,All,2017-18,49,5.6,216,"3,833",> 100%
State,Florida,All,2017-18,50,6.2,256,"4,108",> 100%
State,Florida,All,2017-18,51,5.9,250,"4,206",> 100%
State,Florida,All,2017-18,52,6,247,"4,083",> 100%
State,Florida,All,2017-18,1,6.4,256,"4,002",> 100%
State,Florida,All,2017-18,2,6.9,243,"3,505",> 100%
State,Georgia,All,2017-18,40,5.3,80,"1,517",> 100%
State,Georgia,All,2017-18,41,4.5,70,"1,540",> 100%
State,Georgia,All,2017-18,42,5.3,86,"1,614",> 100%
State,Georgia,All,2017-18,43,5.5,81,"1,475",> 100%
State,Georgia,All,2017-18,44,5.3,83,"1,565",> 100%
State,Georgia,All,2017-18,45,3.9,62,"1,575",> 100%
State,Georgia,All,2017-18,46,4.9,71,"1,459",> 100%
State,Georgia,All,2017-18,47,6.4,99,"1,537",> 100%
State,Georgia,All,2017-18,48,6.2,94,"1,514",> 100%
State,Georgia,All,2017-18,49,5,78,"1,546",> 100%
State,Georgia,All,2017-18,50,6.1,94,"1,542",> 100%
State,Georgia,All,2017-18,51,5.1,78,"1,527",> 100%
State,Georgia,All,2017-18,52,6.4,90,"1,405",> 100%
State,Georgia,All,2017-18,1,6,80,"1,339",98.80%
State,Georgia,All,2017-18,2,7.6,90,"1,192",88%
State,Hawaii,All,2017-18,40,14,29,207,> 100%
State,Hawaii,All,2017-18,41,11.3,21,186,98%
State,Hawaii,All,2017-18,42,9.7,19,195,> 100%
State,Hawaii,All,2017-18,43,5.4,10,185,97.50%
State,Hawaii,All,2017-18,44,12.1,28,232,> 100%
State,Hawaii,All,2017-18,45,7.1,16,225,> 100%
State,Hawaii,All,2017-18,46,12.4,24,193,> 100%
State,Hawaii,All,2017-18,47,7.1,15,211,> 100%
State,Hawaii,All,2017-18,48,12,32,266,> 100%
State,Hawaii,All,2017-18,49,14,32,228,> 100%
State,Hawaii,All,2017-18,50,11.3,27,238,> 100%
State,Hawaii,All,2017-18,51,11.2,28,249,> 100%
State,Hawaii,All,2017-18,52,13.3,32,241,> 100%
State,Hawaii,All,2017-18,1,13.4,34,254,> 100%
State,Hawaii,All,2017-18,2,9,17,189,99.60%
State,Idaho,All,2017-18,40,3.9,10,257,> 100%
State,Idaho,All,2017-18,41,4.9,13,264,> 100%
State,Idaho,All,2017-18,42,4.1,12,294,> 100%
State,Idaho,All,2017-18,43,5.4,15,278,> 100%
State,Idaho,All,2017-18,44,6.5,18,275,> 100%
State,Idaho,All,2017-18,45,4.5,12,266,> 100%
State,Idaho,All,2017-18,46,8.2,21,257,> 100%
State,Idaho,All,2017-18,47,5.8,14,240,> 100%
State,Idaho,All,2017-18,48,5.5,15,273,> 100%
State,Idaho,All,2017-18,49,5.6,15,268,> 100%
State,Idaho,All,2017-18,50,6.1,17,279,> 100%
State,Idaho,All,2017-18,51,9.1,27,296,> 100%
State,Idaho,All,2017-18,52,6.2,17,275,> 100%
State,Idaho,All,2017-18,1,9.6,29,302,> 100%
State,Idaho,All,2017-18,2,7.1,18,253,> 100%
State,Illinois,All,2017-18,40,5.6,115,"2,065",> 100%
State,Illinois,All,2017-18,41,6.1,115,"1,895",98.20%
State,Illinois,All,2017-18,42,5.8,114,"1,964",> 100%
State,Illinois,All,2017-18,43,6.1,126,"2,052",> 100%
State,Illinois,All,2017-18,44,5.4,112,"2,091",> 100%
State,Illinois,All,2017-18,45,5.3,110,"2,085",> 100%
State,Illinois,All,2017-18,46,5.8,125,"2,160",> 100%
State,Illinois,All,2017-18,47,5.2,109,"2,095",> 100%
State,Illinois,All,2017-18,48,6.1,132,"2,153",> 100%
State,Illinois,All,2017-18,49,5.1,116,"2,272",> 100%
State,Illinois,All,2017-18,50,7.4,163,"2,217",> 100%
State,Illinois,All,2017-18,51,6.9,155,"2,241",> 100%
State,Illinois,All,2017-18,52,9.2,226,"2,448",> 100%
State,Illinois,All,2017-18,1,10,225,"2,239",> 100%
State,Illinois,All,2017-18,2,10.8,242,"2,233",> 100%
State,Indiana,All,2017-18,40,6.7,80,"1,200",> 100%
State,Indiana,All,2017-18,41,5.2,60,"1,154",> 100%
State,Indiana,All,2017-18,42,6.7,79,"1,174",> 100%
State,Indiana,All,2017-18,43,6.7,85,"1,262",> 100%
State,Indiana,All,2017-18,44,6.8,85,"1,254",> 100%
State,Indiana,All,2017-18,45,7.1,85,"1,205",> 100%
State,Indiana,All,2017-18,46,5.5,67,"1,215",> 100%
State,Indiana,All,2017-18,47,5,63,"1,249",> 100%
State,Indiana,All,2017-18,48,6.7,79,"1,178",> 100%
State,Indiana,All,2017-18,49,6.6,83,"1,265",> 100%
State,Indiana,All,2017-18,50,7.1,93,"1,306",> 100%
State,Indiana,All,2017-18,51,8,107,"1,336",> 100%
State,Indiana,All,2017-18,52,9,119,"1,327",> 100%
State,Indiana,All,2017-18,1,8.1,105,"1,299",> 100%
State,Indiana,All,2017-18,2,9.9,107,"1,079",98.40%
State,Iowa,All,2017-18,40,6.9,39,564,> 100%
State,Iowa,All,2017-18,41,7.5,41,548,> 100%
State,Iowa,All,2017-18,42,7.2,40,552,> 100%
State,Iowa,All,2017-18,43,8.2,47,571,> 100%
State,Iowa,All,2017-18,44,6,38,638,> 100%
State,Iowa,All,2017-18,45,5.8,35,602,> 100%
State,Iowa,All,2017-18,46,6.1,37,602,> 100%
State,Iowa,All,2017-18,47,5.9,37,631,> 100%
State,Iowa,All,2017-18,48,7.3,42,574,> 100%
State,Iowa,All,2017-18,49,6.5,38,589,> 100%
State,Iowa,All,2017-18,50,7,42,600,> 100%
State,Iowa,All,2017-18,51,7.1,44,624,> 100%
State,Iowa,All,2017-18,52,9.4,58,619,> 100%
State,Iowa,All,2017-18,1,9.5,54,570,> 100%
State,Iowa,All,2017-18,2,10.6,50,470,88.10%
State,Kansas,All,2017-18,40,6.3,32,511,> 100%
State,Kansas,All,2017-18,41,5.1,24,467,99%
State,Kansas,All,2017-18,42,5.9,32,544,> 100%
State,Kansas,All,2017-18,43,6.1,28,459,97.30%
State,Kansas,All,2017-18,44,7.2,41,569,> 100%
State,Kansas,All,2017-18,45,5.9,31,526,> 100%
State,Kansas,All,2017-18,46,6.5,32,493,> 100%
State,Kansas,All,2017-18,47,5.9,31,527,> 100%
State,Kansas,All,2017-18,48,7.9,42,534,> 100%
State,Kansas,All,2017-18,49,5.1,28,553,> 100%
State,Kansas,All,2017-18,50,6.5,35,540,> 100%
State,Kansas,All,2017-18,51,7,37,531,> 100%
State,Kansas,All,2017-18,52,7.7,45,583,> 100%
State,Kansas,All,2017-18,1,9.5,52,545,> 100%
State,Kansas,All,2017-18,2,10,48,480,> 100%
State,Kentucky,All,2017-18,40,6.8,58,858,> 100%
State,Kentucky,All,2017-18,41,6.1,54,883,> 100%
State,Kentucky,All,2017-18,42,7.2,62,864,> 100%
State,Kentucky,All,2017-18,43,7.6,66,864,> 100%
State,Kentucky,All,2017-18,44,8.2,75,916,> 100%
State,Kentucky,All,2017-18,45,7.1,62,872,> 100%
State,Kentucky,All,2017-18,46,7.1,65,913,> 100%
State,Kentucky,All,2017-18,47,7.4,62,836,> 100%
State,Kentucky,All,2017-18,48,8.3,75,899,> 100%
State,Kentucky,All,2017-18,49,9,83,920,> 100%
State,Kentucky,All,2017-18,50,8,77,961,> 100%
State,Kentucky,All,2017-18,51,9.1,81,892,> 100%
State,Kentucky,All,2017-18,52,9.6,86,899,> 100%
State,Kentucky,All,2017-18,1,10.1,66,652,80.50%
State,Kentucky,All,2017-18,2,12.3,76,616,76%
State,Louisiana,All,2017-18,40,5.5,46,835,> 100%
State,Louisiana,All,2017-18,41,5.1,43,845,> 100%
State,Louisiana,All,2017-18,42,4.5,40,882,> 100%
State,Louisiana,All,2017-18,43,4.5,37,820,> 100%
State,Louisiana,All,2017-18,44,3.4,30,878,> 100%
State,Louisiana,All,2017-18,45,4.1,36,881,> 100%
State,Louisiana,All,2017-18,46,4.9,42,858,> 100%
State,Louisiana,All,2017-18,47,4.2,35,840,> 100%
State,Louisiana,All,2017-18,48,4.5,40,882,> 100%
State,Louisiana,All,2017-18,49,6.6,58,881,> 100%
State,Louisiana,All,2017-18,50,4.8,41,858,> 100%
State,Louisiana,All,2017-18,51,7.1,61,865,> 100%
State,Louisiana,All,2017-18,52,6.4,57,896,> 100%
State,Louisiana,All,2017-18,1,6.8,52,770,98.40%
State,Louisiana,All,2017-18,2,6.7,39,582,74.40%
State,Maine,All,2017-18,40,5.8,16,274,> 100%
State,Maine,All,2017-18,41,6,17,283,> 100%
State,Maine,All,2017-18,42,4.4,12,272,> 100%
State,Maine,All,2017-18,43,5,12,241,98.60%
State,Maine,All,2017-18,44,3.1,8,262,> 100%
State,Maine,All,2017-18,45,5.4,15,279,> 100%
State,Maine,All,2017-18,46,6.8,21,310,> 100%
State,Maine,All,2017-18,47,3.1,9,294,> 100%
State,Maine,All,2017-18,48,5,16,321,> 100%
State,Maine,All,2017-18,49,6.5,19,291,> 100%
State,Maine,All,2017-18,50,5.8,17,293,> 100%
State,Maine,All,2017-18,51,7.7,23,298,> 100%
State,Maine,All,2017-18,52,6.4,18,281,> 100%
State,Maine,All,2017-18,1,8.8,28,318,> 100%
State,Maine,All,2017-18,2,9.4,25,267,> 100%
State,Maryland,All,2017-18,40,5.9,53,897,> 100%
State,Maryland,All,2017-18,41,5.9,53,891,> 100%
State,Maryland,All,2017-18,42,6.8,62,914,> 100%
State,Maryland,All,2017-18,43,5.8,55,950,> 100%
State,Maryland,All,2017-18,44,5.9,52,879,> 100%
State,Maryland,All,2017-18,45,6.2,60,966,> 100%
State,Maryland,All,2017-18,46,5.4,51,942,> 100%
State,Maryland,All,2017-18,47,6.2,57,919,> 100%
State,Maryland,All,2017-18,48,5.7,55,969,> 100%
State,Maryland,All,2017-18,49,6.7,62,919,> 100%
State,Maryland,All,2017-18,50,5.7,54,949,> 100%
State,Maryland,All,2017-18,51,5.7,57,"1,000",> 100%
State,Maryland,All,2017-18,52,8,79,988,> 100%
State,Maryland,All,2017-18,1,7.2,64,885,> 100%
State,Maryland,All,2017-18,2,7.2,60,834,> 100%
State,Massachusetts,All,2017-18,40,4.7,53,"1,120",> 100%
State,Massachusetts,All,2017-18,41,6.2,65,"1,045",> 100%
State,Massachusetts,All,2017-18,42,6.8,74,"1,086",> 100%
State,Massachusetts,All,2017-18,43,8.5,91,"1,074",> 100%
State,Massachusetts,All,2017-18,44,6.6,74,"1,125",> 100%
State,Massachusetts,All,2017-18,45,6.8,73,"1,075",> 100%
State,Massachusetts,All,2017-18,46,6.6,77,"1,173",> 100%
State,Massachusetts,All,2017-18,47,6.4,73,"1,133",> 100%
State,Massachusetts,All,2017-18,48,6.1,71,"1,162",> 100%
State,Massachusetts,All,2017-18,49,6.3,69,"1,092",> 100%
State,Massachusetts,All,2017-18,50,6.9,77,"1,116",> 100%
State,Massachusetts,All,2017-18,51,8.5,105,"1,230",> 100%
State,Massachusetts,All,2017-18,52,8.2,99,"1,206",> 100%
State,Massachusetts,All,2017-18,1,10.9,139,"1,280",> 100%
State,Massachusetts,All,2017-18,2,9.3,110,"1,184",> 100%
State,Michigan,All,2017-18,40,5.3,94,"1,771",> 100%
State,Michigan,All,2017-18,41,5.6,99,"1,759",> 100%
State,Michigan,All,2017-18,42,4.8,87,"1,804",> 100%
State,Michigan,All,2017-18,43,4.7,79,"1,685",99.80%
State,Michigan,All,2017-18,44,5.1,91,"1,779",> 100%
State,Michigan,All,2017-18,45,5.5,93,"1,684",99.70%
State,Michigan,All,2017-18,46,5.4,92,"1,710",> 100%
State,Michigan,All,2017-18,47,4.4,75,"1,711",> 100%
State,Michigan,All,2017-18,48,5.6,93,"1,652",97.80%
State,Michigan,All,2017-18,49,5.2,65,"1,258",74.50%
State,Michigan,All,2017-18,50,6.6,111,"1,682",99.60%
State,Michigan,All,2017-18,51,5.7,101,"1,783",> 100%
State,Michigan,All,2017-18,52,7,129,"1,846",> 100%
State,Michigan,All,2017-18,1,6.4,118,"1,846",> 100%
State,Michigan,All,2017-18,2,6.5,100,"1,532",90.70%
State,Minnesota,All,2017-18,40,5.9,49,832,> 100%
State,Minnesota,All,2017-18,41,5.6,46,822,> 100%
State,Minnesota,All,2017-18,42,5.8,51,876,> 100%
State,Minnesota,All,2017-18,43,7,62,891,> 100%
State,Minnesota,All,2017-18,44,6.9,61,878,> 100%
State,Minnesota,All,2017-18,45,7.8,69,887,> 100%
State,Minnesota,All,2017-18,46,6.5,56,857,> 100%
State,Minnesota,All,2017-18,47,4.8,41,861,> 100%
State,Minnesota,All,2017-18,48,6.4,54,850,> 100%
State,Minnesota,All,2017-18,49,6.9,57,826,> 100%
State,Minnesota,All,2017-18,50,6.7,58,861,> 100%
State,Minnesota,All,2017-18,51,7,65,931,> 100%
State,Minnesota,All,2017-18,52,8.1,74,916,> 100%
State,Minnesota,All,2017-18,1,10.5,92,873,> 100%
State,Minnesota,All,2017-18,2,10.8,75,692,92.60%
State,Mississippi,All,2017-18,40,4.3,26,602,> 100%
State,Mississippi,All,2017-18,41,5.6,33,594,> 100%
State,Mississippi,All,2017-18,42,5.9,35,594,> 100%
State,Mississippi,All,2017-18,43,6.5,36,555,> 100%
State,Mississippi,All,2017-18,44,7.6,44,582,> 100%
State,Mississippi,All,2017-18,45,6.2,38,613,> 100%
State,Mississippi,All,2017-18,46,7.2,43,594,> 100%
State,Mississippi,All,2017-18,47,6.5,38,586,> 100%
State,Mississippi,All,2017-18,48,6.6,37,560,> 100%
State,Mississippi,All,2017-18,49,8.1,40,492,88.80%
State,Mississippi,All,2017-18,50,8.3,33,397,71.70%
State,Mississippi,All,2017-18,51,6,16,265,47.80%
State,Mississippi,All,2017-18,52,8.7,12,138,24.90%
State,Mississippi,All,2017-18,1,,Insufficient Data,Insufficient Data,< 20%
State,Mississippi,All,2017-18,2,,Insufficient Data,Insufficient Data,< 20%
State,Missouri,All,2017-18,40,6,66,"1,091",> 100%
State,Missouri,All,2017-18,41,6.4,69,"1,075",> 100%
State,Missouri,All,2017-18,42,5.5,63,"1,146",> 100%
State,Missouri,All,2017-18,43,7,83,"1,186",> 100%
State,Missouri,All,2017-18,44,5.2,59,"1,131",> 100%
State,Missouri,All,2017-18,45,5.7,65,"1,132",> 100%
State,Missouri,All,2017-18,46,5.8,64,"1,095",> 100%
State,Missouri,All,2017-18,47,4.5,49,"1,096",> 100%
State,Missouri,All,2017-18,48,6.9,77,"1,119",> 100%
State,Missouri,All,2017-18,49,5.7,65,"1,142",> 100%
State,Missouri,All,2017-18,50,5.6,65,"1,151",> 100%
State,Missouri,All,2017-18,51,8.1,94,"1,165",> 100%
State,Missouri,All,2017-18,52,9.6,116,"1,207",> 100%
State,Missouri,All,2017-18,1,10.4,125,"1,200",> 100%
State,Missouri,All,2017-18,2,12.4,129,"1,043",98.90%
State,Montana,All,2017-18,40,4.2,9,215,> 100%
State,Montana,All,2017-18,41,5.3,10,189,> 100%
State,Montana,All,2017-18,42,5.5,11,199,> 100%
State,Montana,All,2017-18,43,5.9,11,188,> 100%
State,Montana,All,2017-18,44,6,11,183,> 100%
State,Montana,All,2017-18,45,6,11,182,> 100%
State,Montana,All,2017-18,46,4.2,8,192,> 100%
State,Montana,All,2017-18,47,4.7,9,190,> 100%
State,Montana,All,2017-18,48,7.6,16,211,> 100%
State,Montana,All,2017-18,49,5,8,159,94.60%
State,Montana,All,2017-18,50,5.1,10,197,> 100%
State,Montana,All,2017-18,51,6.3,12,192,> 100%
State,Montana,All,2017-18,52,6.3,12,189,> 100%
State,Montana,All,2017-18,1,5.5,8,146,86.90%
State,Montana,All,2017-18,2,6.5,9,139,82.70%
State,Nebraska,All,2017-18,40,8.6,27,315,> 100%
State,Nebraska,All,2017-18,41,7,22,315,> 100%
State,Nebraska,All,2017-18,42,6.9,22,318,> 100%
State,Nebraska,All,2017-18,43,9.4,30,320,> 100%
State,Nebraska,All,2017-18,44,7.6,24,314,> 100%
State,Nebraska,All,2017-18,45,5.2,18,345,> 100%
State,Nebraska,All,2017-18,46,5.4,16,295,> 100%
State,Nebraska,All,2017-18,47,7.6,25,327,> 100%
State,Nebraska,All,2017-18,48,9.7,31,319,> 100%
State,Nebraska,All,2017-18,49,9.4,29,309,> 100%
State,Nebraska,All,2017-18,50,7,25,359,> 100%
State,Nebraska,All,2017-18,51,8.5,28,330,> 100%
State,Nebraska,All,2017-18,52,7.1,23,324,> 100%
State,Nebraska,All,2017-18,1,8.8,29,331,> 100%
State,Nebraska,All,2017-18,2,12.2,27,222,76%
State,Nevada,All,2017-18,40,4.6,20,436,> 100%
State,Nevada,All,2017-18,41,5.2,23,441,> 100%
State,Nevada,All,2017-18,42,8,35,440,> 100%
State,Nevada,All,2017-18,43,7.9,36,457,> 100%
State,Nevada,All,2017-18,44,6.3,28,444,> 100%
State,Nevada,All,2017-18,45,8.7,36,413,> 100%
State,Nevada,All,2017-18,46,8.4,36,431,> 100%
State,Nevada,All,2017-18,47,7.6,35,459,> 100%
State,Nevada,All,2017-18,48,8.2,38,463,> 100%
State,Nevada,All,2017-18,49,9.6,41,427,> 100%
State,Nevada,All,2017-18,50,6.6,32,487,> 100%
State,Nevada,All,2017-18,51,7.8,38,485,> 100%
State,Nevada,All,2017-18,52,8.9,44,492,> 100%
State,Nevada,All,2017-18,1,9.8,45,459,> 100%
State,Nevada,All,2017-18,2,15.2,65,427,> 100%
State,New Hampshire,All,2017-18,40,6.5,15,232,> 100%
State,New Hampshire,All,2017-18,41,4.8,11,230,> 100%
State,New Hampshire,All,2017-18,42,7,16,228,> 100%
State,New Hampshire,All,2017-18,43,7.9,19,239,> 100%
State,New Hampshire,All,2017-18,44,4.6,12,262,> 100%
State,New Hampshire,All,2017-18,45,7.9,19,239,> 100%
State,New Hampshire,All,2017-18,46,7.1,15,212,> 100%
State,New Hampshire,All,2017-18,47,4.7,12,255,> 100%
State,New Hampshire,All,2017-18,48,9.4,24,255,> 100%
State,New Hampshire,All,2017-18,49,2.5,6,237,> 100%
State,New Hampshire,All,2017-18,50,7.5,19,254,> 100%
State,New Hampshire,All,2017-18,51,7.9,19,239,> 100%
State,New Hampshire,All,2017-18,52,5.5,13,238,> 100%
State,New Hampshire,All,2017-18,1,9.7,24,247,> 100%
State,New Hampshire,All,2017-18,2,12.7,26,204,> 100%
State,New Jersey,All,2017-18,40,4.9,63,"1,296",97.30%
State,New Jersey,All,2017-18,41,3.9,51,"1,303",97.80%
State,New Jersey,All,2017-18,42,5.6,72,"1,283",96.30%
State,New Jersey,All,2017-18,43,5.4,72,"1,324",99.40%
State,New Jersey,All,2017-18,44,5.3,71,"1,329",99.80%
State,New Jersey,All,2017-18,45,4.5,60,"1,343",> 100%
State,New Jersey,All,2017-18,46,4.8,69,"1,438",> 100%
State,New Jersey,All,2017-18,47,4.9,72,"1,460",> 100%
